applicant_id,gender,caste,religion,state,monthly_income,credit_score,loan_amount_requested,employment_type,education,existing_loans,loan_approved
IND1000,Male,General,Muslim,Gujarat,16701,791,500000,Self-Employed,12th Pass,3,0
IND1001,Female,General,Hindu,Bihar,20173,624,750000,Self-Employed,Post-Graduate,3,0
IND1002,Female,General,Hindu,Gujarat,39891,737,500000,Gig Worker,Graduate,3,1
IND1003,Female,General,Hindu,Uttar Pradesh,39298,685,1000000,Self-Employed,10th Pass,2,1
IND1004,Male,General,Hindu,West Bengal,11651,616,50000,Self-Employed,Post-Graduate,0,1
IND1005,Male,OBC,Muslim,Rajasthan,40663,727,50000,Salaried,Primary,3,0
IND1006,Male,General,Hindu,Bihar,23888,612,500000,Gig Worker,12th Pass,2,0
IND1007,Female,OBC,Hindu,Tamil Nadu,114546,633,50000,Salaried,12th Pass,0,1
IND1008,Female,OBC,Hindu,Bihar,43236,547,1000000,Gig Worker,Graduate,3,1
IND1009,Female,OBC,Other,West Bengal,48777,625,50000,Salaried,Graduate,0,1
IND1010,Male,General,Hindu,Tamil Nadu,49669,686,500000,Self-Employed,Primary,3,0
IND1011,Female,SC,Hindu,West Bengal,15525,798,200000,Gig Worker,Graduate,2,0
IND1012,Female,OBC,Hindu,Tamil Nadu,141593,634,200000,Salaried,12th Pass,1,1
IND1013,Male,General,Muslim,Bihar,11660,576,100000,Salaried,Graduate,1,1
IND1014,Male,SC,Hindu,Tamil Nadu,63385,792,50000,Salaried,Post-Graduate,0,1
IND1015,Male,ST,Hindu,Tamil Nadu,55997,622,500000,Self-Employed,Post-Graduate,2,1
IND1016,Male,General,Hindu,Uttar Pradesh,26006,516,50000,Daily Wage,12th Pass,1,0
IND1017,Male,General,Hindu,Gujarat,57902,676,750000,Salaried,Primary,3,1
IND1018,Male,SC,Hindu,Gujarat,29076,637,1000000,Gig Worker,Graduate,1,1
IND1019,Male,SC,Hindu,Rajasthan,22633,860,50000,Salaried,Graduate,0,1
IND1020,Female,General,Sikh,Rajasthan,50447,705,50000,Self-Employed,Graduate,0,1
IND1021,Male,General,Hindu,Uttar Pradesh,17951,652,200000,Daily Wage,12th Pass,2,0
IND1022,Male,OBC,Hindu,Rajasthan,31039,586,1000000,Salaried,Graduate,0,1
IND1023,Male,OBC,Christian,West Bengal,23958,693,500000,Self-Employed,10th Pass,1,1
IND1024,Male,OBC,Hindu,Bihar,28704,788,50000,Salaried,12th Pass,1,1
IND1025,Female,OBC,Hindu,Maharashtra,49163,691,200000,Salaried,12th Pass,1,1
IND1026,Male,OBC,Hindu,West Bengal,23955,592,100000,Salaried,Post-Graduate,1,1
IND1027,Male,SC,Hindu,Maharashtra,31741,710,1000000,Salaried,Primary,2,1
IND1028,Female,General,Other,Maharashtra,25534,660,200000,Self-Employed,Graduate,3,1
IND1029,Male,General,Hindu,Uttar Pradesh,99787,703,200000,Self-Employed,Post-Graduate,3,1
IND1030,Female,SC,Christian,West Bengal,46158,634,200000,Self-Employed,12th Pass,2,1
IND1031,Male,SC,Hindu,Uttar Pradesh,42363,632,50000,Salaried,12th Pass,0,1
IND1032,Male,OBC,Hindu,Tamil Nadu,58594,629,50000,Salaried,Graduate,3,1
IND1033,Female,OBC,Hindu,Maharashtra,23959,745,100000,Self-Employed,Graduate,0,1
IND1034,Female,General,Hindu,Bihar,66269,633,750000,Unemployed,10th Pass,3,0
IND1035,Female,OBC,Hindu,Rajasthan,46273,625,750000,Salaried,Graduate,0,0
IND1036,Male,OBC,Muslim,Bihar,12177,584,750000,Daily Wage,10th Pass,2,1
