applicant_id,gender,caste,religion,state,monthly_income,credit_score,loan_amount_requested,employment_type,education,existing_loans,loan_approved
IND1000,Female,SC,Muslim,Bihar,25423,578,200000,Salaried,Graduate,1,0
IND1001,Male,General,Hindu,Maharashtra,85432,745,500000,Salaried,Graduate,0,1
IND1002,Female,OBC,Muslim,Uttar Pradesh,32187,612,200000,Self-Employed,12th Pass,2,0
IND1003,Male,General,Hindu,Gujarat,65421,723,500000,Salaried,Post-Graduate,1,1
IND1004,Female,SC,Christian,Tamil Nadu,28765,589,100000,Daily Wage,10th Pass,3,0
IND1005,Male,OBC,Hindu,Rajasthan,45678,654,200000,Salaried,Graduate,1,1
IND1006,Female,SC,Muslim,Bihar,19876,543,100000,Gig Worker,12th Pass,2,0
IND1007,Male,General,Hindu,Maharashtra,92345,789,750000,Salaried,Post-Graduate,0,1
IND1008,Female,OBC,Muslim,Uttar Pradesh,35432,634,200000,Self-Employed,Graduate,2,1
IND1009,Male,General,Hindu,Gujarat,71234,756,500000,Salaried,Post-Graduate,1,1
IND1010,Female,SC,Christian,Tamil Nadu,23456,567,100000,Daily Wage,10th Pass,3,0
IND1011,Male,OBC,Hindu,Rajasthan,48765,667,200000,Salaried,Graduate,1,1
IND1012,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1013,Male,General,Hindu,Maharashtra,87654,777,750000,Salaried,Post-Graduate,0,1
IND1014,Female,OBC,Muslim,Uttar Pradesh,37890,645,200000,Self-Employed,Graduate,2,1
IND1015,Male,General,Hindu,Gujarat,69876,743,500000,Salaried,Post-Graduate,1,1
IND1016,Female,SC,Christian,Tamil Nadu,24567,578,100000,Daily Wage,10th Pass,3,0
IND1017,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1018,Female,SC,Muslim,Bihar,18765,534,100000,Gig Worker,12th Pass,2,0
IND1019,Male,General,Hindu,Maharashtra,93456,798,1000000,Salaried,Post-Graduate,0,1
IND1020,Female,OBC,Muslim,Uttar Pradesh,34567,623,200000,Self-Employed,Graduate,2,1
IND1021,Male,General,Hindu,Gujarat,72345,765,750000,Salaried,Post-Graduate,1,1
IND1022,Female,SC,Christian,Tamil Nadu,27890,598,200000,Daily Wage,12th Pass,3,0
IND1023,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1024,Female,SC,Muslim,Bihar,22345,567,100000,Gig Worker,12th Pass,2,0
IND1025,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1026,Female,OBC,Muslim,Uttar Pradesh,36789,654,200000,Self-Employed,Graduate,2,1
IND1027,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1028,Female,SC,Christian,Tamil Nadu,25678,587,100000,Daily Wage,10th Pass,3,0
IND1029,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1030,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1031,Male,General,Hindu,Maharashtra,88901,787,1000000,Salaried,Post-Graduate,0,1
IND1032,Female,OBC,Muslim,Uttar Pradesh,33456,619,200000,Self-Employed,Graduate,2,1
IND1033,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1034,Female,SC,Christian,Tamil Nadu,26789,599,200000,Daily Wage,12th Pass,3,0
IND1035,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1036,Female,SC,Muslim,Bihar,21456,569,100000,Gig Worker,12th Pass,2,0
IND1037,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1038,Female,OBC,Muslim,Uttar Pradesh,35678,637,200000,Self-Employed,Graduate,2,1
IND1039,Male,General,Hindu,Gujarat,71567,751,500000,Salaried,Post-Graduate,1,1
IND1040,Female,SC,Christian,Tamil Nadu,23901,577,100000,Daily Wage,10th Pass,3,0
IND1041,Male,OBC,Hindu,Rajasthan,47890,665,200000,Salaried,Graduate,1,1
IND1042,Female,SC,Muslim,Bihar,19567,545,100000,Gig Worker,12th Pass,2,0
IND1043,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1044,Female,OBC,Muslim,Uttar Pradesh,34678,627,200000,Self-Employed,Graduate,2,1
IND1045,Male,General,Hindu,Gujarat,69789,741,500000,Salaried,Post-Graduate,1,1
IND1046,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1047,Male,OBC,Hindu,Rajasthan,43456,653,200000,Salaried,Graduate,1,1
IND1048,Female,SC,Muslim,Bihar,20789,562,100000,Gig Worker,12th Pass,2,0
IND1049,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1050,Female,OBC,Muslim,Uttar Pradesh,36890,648,200000,Self-Employed,Graduate,2,1
IND1051,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1052,Female,SC,Christian,Tamil Nadu,25789,593,100000,Daily Wage,10th Pass,3,0
IND1053,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1054,Female,SC,Muslim,Bihar,21890,571,100000,Gig Worker,12th Pass,2,0
